Kotetsu Boku,[u'Joachim Hansen']
Phil Baroni,"[u'Hayato Sakurai', u'Brad Tavares', u'Amir Sadollah', u'Joe Riggs', u'Joey Villasenor', u'Frank Shamrock', u'Yosuke Nishijima', u'Kazuo Misaki', u'Yuki Kondo', u'Ikuhisa Minowa', u'Ryo Chonan', u'Ikuhisa Minowa', u'Pete Sell', u'Evan Tanner', u'Evan Tanner', u'Matt Lindland', u'Dave Menne', u'Amar Suloev', u'Matt Lindland', u'Curtis Stout']"
Andre Mussi,[u'Brandon Vera']
Mark Robinson,[u'Bobby Hoffman']
Brian Sleeman,[u'Chris Leben']
TJ Cook,"[u'Trevor Smith', u'Lionel Lanham']"
Brian Lo-A-Njoe,[u'Shinya Aoki']
Mark Hunt,"[u'Fabricio Werdum', u'Roy Nelson', u'Stefan Struve', u'Cheick Kongo', u'Ben Rothwell', u'Chris Tuchscherer', u'Sean McCorkle', u'Gegard Mousasi', u'Melvin Manhoef', u'Alistair Overeem', u'Fedor Emelianenko', u'Josh Barnett', u'Tsuyoshi Kohsaka', u'Yosuke Nishijima', u'Mirko Filipovic', u'Wanderlei Silva', u'Dan Bobish', u'Hidehiko Yoshida']"
Roy Jones,[u'Derrick Mehmen']
Jesse Fujarczyk,"[u'Cain Velasquez', u'Daniel Puder']"
Ken Kaneko,[u'Charles Bennett']
Eddie Ruiz,[u'Yves Edwards']
Merritt Warren,[u'Thomas Diagne']
Hacran Dias,"[u'Ricardo Lamas', u'Nik Lentz', u'Iuri Alcantara']"
Mikey Burnett,"[u'Townsend Saunders', u'Pat Miletich', u'Eugenio Tadeu']"
Joe Camacho,[u'Joe Stevenson']
Seichi Ikemoto,"[u'Tarec Saffiedine', u'Marius Zaromskis', u'Daisuke Nakamura', u'Yves Edwards']"
Francisco Trinaldo,"[u'Leandro Silva', u'Michael Chiesa', u'Jesse Ronson', u'Piotr Hallmann', u'Mike Rio', u'CJ Keith', u'Gleison Tibau', u'Delson Heleno']"
David Mitchell,"[u'Yan Cabral', u'Mike Pierce', u'Simeon Thoresen', u'Paulo Thiago']"
Kristof Midoux,"[u""Jake O'Brien"", u'Fabricio Werdum']"
Fabricio Werdum,"[u'Mark Hunt', u'Travis Browne', u'Mike Russow', u'Roy Nelson', u'Alistair Overeem', u'Fedor Emelianenko', u'Mike Kyle', u'Brandon Vera', u'Gabriel Gonzaga', u'Andrei Arlovski', u'Aleksander Emelianenko', u'Alistair Overeem', u'Sergei Kharitonov', u'Roman Zentsov', u'Tom Erikson', u'Gabriel Gonzaga', u'Kristof Midoux']"
Chris Haseman,[u'Evan Tanner']
Andrew Montanez,"[u'David Smith', u'Raul Castillo']"
Dustin Jacoby,"[u'Chris Camozzi', u'Clifford Starks']"
Reese Andy,"[u'Matt Hamill', u'Brandon Vera']"
Rob Font,[u'George Roop']
Federico Lopez,[u'Norifumi Yamamoto']
Nik Lentz,"[u'Manvel Gamburyan', u'Chad Mendes', u'Hacran Dias', u'Diego Nunes', u'Eiji Mitsuoka', u'Evan Dunham', u'Mark Bocek', u'Charles Oliveira', u'Waylon Lowe', u'Tyson Griffin', u'Andre Winner', u'Rob Emerson', u'Thiago Tavares', u'Rafaello Oliveira']"
Ryan Stonitsch,[u'Alex Serdyukov']
Roger Bowling,"[u'Abel Trujillo', u'Abel Trujillo', u'Anthony Njokuani', u'Tarec Saffiedine', u'Brandon Saling', u'Jerron Peoples', u'Bobby Voelker', u'Josh Thornburg', u'Bobby Voelker', u'Bobby Voelker']"
Tadao Yasuda,[u'Masaaki Satake']
Ibragim Magomedov,[u'Mirko Filipovic']
Johnny Rees,"[u'Steve Bruno', u'Nate Loughran']"
Alexandru Lungu,[u'James Thompson']
Tony Fryklund,"[u'Cung Le', u'Duane Ludwig', u'Anderson Silva', u'Ivan Salaverry', u'Rodrigo Ruas', u'Donnie Chappell', u'Kevin Jackson']"
Todd Medina,"[u'Dave Beneteau', u'Larry Cureton']"
Joe Vedepo,"[u'Rob Kimmons', u'Alessio Sakara']"
Mike Bronzoulis,"[u'Chad Leonhardt', u'Todd Moore']"
Yan Cabral,"[u'Naoyuki Kotani', u'Zak Cummings', u'David Mitchell', u'Kazushi Sakuraba']"
David Barrios,[u'Anthony Figueroa']
Daniel Omielanczuk,"[u'Jared Rosholt', u'Nandor Guelmino']"
Godofredo Pepey,"[u'Dashon Johnson', u'Noad Lahat', u'Sam Sicilia', u'Felipe Arantes', u'Milton Vieira', u'Rony Jason']"
Erick Wanderlei,[u'Mauricio Rua']
Jeremy Larsen,"[u'Andre Fili', u'Lucas Martins', u'Joe Proctor']"
Ildemar Alcantara,"[u'Kenny Robertson', u'Albert Tumenov', u'Igor Araujo', u'Leandro Silva', u'Wagner Prado']"
Bob Gilstrap,[u'Carlos Newton']
Marcus LeVesseur,"[u'Abel Trujillo', u'Carlo Prater', u'Cody McKenzie']"
Larry Cureton,"[u'Marco Ruas', u'Todd Medina']"
Cody McKenzie,"[u'Sam Stout', u'Leonard Garcia', u'Chad Mendes', u'Marcus LeVesseur', u'Vagner Rocha', u'Yves Edwards', u'Aaron Wilkinson']"
Mark Scanlon,[u'Pascal Krauss']
Antonio Carvalho,"[u'Darren Elkins', u'Rodrigo Damm', u'Daniel Pineda', u'Felipe Arantes']"
Houston Dorr,[u'Dwayne Cason']
Neil Grove,[u'Mike Ciesnolevicz']
Joey Gambino,"[u'Diego Brandao', u'Steven Siler']"
Keiichiro Yamamiya,[u'Eugene Jackson']
Brett Albee,[u'Virgil Zwicker']
Shamar Bailey,"[u'Danny Castillo', u'Evan Dunham', u'Ryan McGillivray', u'Justin Wilcox', u'John Kolosci']"
Clay Guida,"[u'Dennis Bermudez', u'Tatsuya Kawajiri', u'Chad Mendes', u'Hatsu Hioki', u'Gray Maynard', u'Benson Henderson', u'Anthony Pettis', u'Takanori Gomi', u'Shannon Gugerty', u'Kenny Florian', u'Diego Sanchez', u'Nate Diaz', u'Mac Danzig', u'Samy Schiavo', u'Roger Huerta', u'Marcus Aurelio', u'Tyson Griffin', u'Din Thomas', u'Justin James', u'Joe Martin', u'Gilbert Melendez', u'Josh Thomson']"
Brad Royster,[u'Darren Uyenoyama']
Dustin Kimura,"[u'George Roop', u'Mitch Gagnon', u'Chico Camus']"
Eiji Ishikawa,[u'Marius Zaromskis']
John Dowdy,[u'Guy Mezger']
Frank Mir,"[u'Alistair Overeem', u'Josh Barnett', u'Daniel Cormier', u'Roy Nelson', u'Mirko Filipovic', u'Shane Carwin', u'Cheick Kongo', u'Brock Lesnar', u'Brock Lesnar', u'Antoni Hardonk', u'Brandon Vera', u'Dan Christison', u'Marcio Cruz', u'Tim Sylvia', u'Wes Sims', u'Wes Sims', u'David Abbott', u'Ian Freeman', u'Pete Williams', u'Roberto Traven']"
Tim Sylvia,"[u'Fedor Emelianenko', u'Brandon Vera', u'Randy Couture', u'Jeff Monson', u'Andrei Arlovski', u'Andrei Arlovski', u'Assuerio Silva', u'Tra Telligman', u'Andrei Arlovski', u'Frank Mir', u'Gan McGee', u'Ricco Rodriguez', u'Wesley Correira']"
Nick Denis,"[u'Roland Delorme', u'Joseph Sandoval']"
Lucio Linhares,"[u'Yushin Okami', u'Rousimar Palhares']"
KJ Noons,"[u'Sam Stout', u'George Sotiropoulos', u'Donald Cerrone', u'Ryan Couture', u'Josh Thomson', u'Billy Evangelista', u'Jorge Masvidal', u'Nick Diaz', u'Jorge Gurgel', u'Conor Heun', u'Andre Amado', u'Yves Edwards', u'Nick Diaz', u'Edson Berto', u'Charles Bennett']"
Nikita Krylov,"[u'Cody Donovan', u'Walt Harris', u'Soa Palelei']"
James Gabert,[u'Mike Swick']
Salvador Woods,"[u'Mike Chandler', u'Tyron Woodley']"
Anthony Hamilton,"[u'Todd Duffee', u'Ruan Potts']"
Jared Papazian,"[u'Timothy Elliott', u'Dustin Pague', u'Mike Easton']"
Nikk Covert,[u'Nik Theotikos']
Bobby Sanchez,"[u'Alvin Cacdac', u'Casey Olson']"
David Hulett,[u'Quinn Mulhern']
Reuben Duran,"[u'George Roop', u'Hugo Viana', u'Francisco Rivera', u'Takeya Mizugaki']"
Alan Jouban,"[u'Warlley Alves', u'Seth Baczynski']"
Brendan O'Reilly,[u'Lipeng Zhang']
Justin Wren,[u'Jon Madsen']
Hiromitsu Kanehara,"[u'Mauricio Rua', u'Alistair Overeem', u'Mirko Filipovic', u'Wanderlei Silva']"
Jerry Bohlander,"[u'Tito Ortiz', u'Kevin Jackson', u'Rainy Martinez', u'Nick Sanzo', u'Fabio Gurgel', u'Scott Ferrozzo', u'Gary Goodridge']"
Joe Brammer,"[u'Aaron Riley', u'Mark Bocek']"
Francisco Rivera,"[u'Urijah Faber', u'Takeya Mizugaki', u'George Roop', u'Edwin Figueroa', u'Roland Delorme', u'Alex Soto', u'Reuben Duran', u'Erik Koch']"
Maximo Blanco,"[u'Andy Ogle', u'Felipe Arantes', u'Akira Corassani', u'Sam Sicilia', u'Marcus Brimage', u'Pat Healy']"
Vinicius Queiroz,[u'Rob Broughton']
Igor Borisov,[u'Mark Kerr']
Tom DeBlass,"[u'Riki Fukuda', u'Cyrille Diabate']"
Alan Belcher,"[u'Michael Bisping', u'Yushin Okami', u'Rousimar Palhares', u'Jason MacDonald', u'Patrick Cote', u'Wilson Gouveia', u'Yoshihiro Akiyama', u'Denis Kang', u'Ed Herman', u'Jason Day', u'Kalib Starnes', u'Sean Salmon', u'Kendall Grove', u'Jorge Santiago', u'Yushin Okami']"
Christian Morecraft,"[u'Pat Barry', u'Matt Mitrione', u'Sean McCorkle', u'Stefan Struve']"
Joby Sanchez,[u'Wilson Reis']
Brendan Seguin,[u'Fernando Gonzalez']
Yoshihisa Yamamoto,"[u'Mirko Filipovic', u'Mark Kerr', u'Heath Herring', u'Alexander Otsuka', u'Guy Mezger', u'Bob Sapp', u'Jan Nortje', u'Assuerio Silva']"
Marcelo Aguiar,[u'Matt Hughes']
Aaron Brink,"[u'Valentijn Overeem', u'Rich Franklin', u'Andrei Arlovski']"
Bendy Casimir,"[u'Erik Koch', u'Ricardo Lamas']"
Gian Villante,"[u""Sean O'Connell"", u'Fabio Maldonado', u'Cody Donovan', u'Derrick Mehmen', u'Trevor Smith', u'Keith Berry', u'Lorenz Larkin', u'Chad Griggs']"
Michael Lerma,[u'Yoshihiro Akiyama']
Chris Amarante,[u'Sean Bassett']
Adam Steele,[u'Zak Bucia']
Fredson Paixao,"[u'Pablo Garza', u'Bryan Caraway', u'Courtney Buck', u'Cole Province', u'Wagnney Fabiano']"
Michael Johnson,"[u'Melvin Guillard', u'Gleison Tibau', u'Joe Lauzon', u'Reza Madadi', u'Myles Jury', u'Danny Castillo', u'Tony Ferguson', u'Shane Roller', u'Paul Sass', u'Edward Faaloloto', u'Jonathan Brookins']"
Gary Frazier,[u'Daniel Cormier']
Akihito Tanaka,[u'Bob Sapp']
Ryan McGivern,[u'Dan Miller']
Claudio Mattos,[u'Rousimar Palhares']
Rob Broughton,"[u'Travis Browne', u'Vinicius Queiroz']"
Drew Fickett,"[u'Tatsuya Kawajiri', u'Keita Nakamura', u'Karo Parisyan', u'Kurt Pellegrino', u'Josh Burkman', u'Josh Koscheck', u'Josh Neer', u'Nick Diaz']"
Todd Duffee,"[u'Anthony Hamilton', u'Alistair Overeem', u'Mike Russow', u'Tim Hague']"
Nikolajus Cilkinas,[u'Alistair Overeem']
Shane Carwin,"[u'Brock Lesnar', u'Frank Mir', u'Gabriel Gonzaga', u'Neil Wain', u'Christian Wellisch', u'Carlton Jones']"
Travis Fulton,"[u'Dan Severn', u'David Dodd', u'Pete Williams']"
Nam Phan,"[u'Vaughan Lee', u'Takeya Mizugaki', u'Dennis Siver', u'Cole Miller', u'Jimy Hettes', u'Leonard Garcia', u'Mike Brown', u'Leonard Garcia', u'Billy Evangelista', u'Josh Thomson', u'Nick Ertl']"
Tom Sauer,[u'Marvin Eastman']
Razak Al-Hassan,"[u'Kyle Kingsbury', u'Steve Cantwell']"
Greg McIntyre,"[u'Alex Karalexis', u'Mike Budnik']"
Jess Liaudin,"[u'David Bielkheden', u'Paul Taylor', u'Marcus Davis', u'Anthony Torres', u'Dennis Siver']"
Conor Heun,"[u'Ryan Couture', u'Magno Almeida', u'KJ Noons', u'Jorge Gurgel']"
Jason High,"[u'Anthony Lapsley', u'James Head', u'Erick Silva', u'Nate Moore', u'Todd Moore', u'Quinn Mulhern', u'Hayato Sakurai', u'Charlie Brenneman', u'Marius Zaromskis', u'Andre Galvao', u'Yuya Shirai', u'Jay Hieron']"
Crafton Wallace,"[u'Nate Marquardt', u'Martin Kampmann', u'Ray Routh']"
Daniel Pineda,"[u'Diego Brandao', u'Justin Lawrence', u'Antonio Carvalho', u'Mike Brown', u'Mackens Semerzier', u'Pat Schilling']"
Charles Oliveira,"[u'Hatsu Hioki', u'Andy Ogle', u'Frankie Edgar', u'Cub Swanson', u'Jonathan Brookins', u'Eric Wisely', u'Donald Cerrone', u'Nik Lentz', u'Jim Miller', u'Efrain Escudero', u'Darren Elkins']"
Scott Junk,[u'Christian Wellisch']
Cole Miller,"[u'Sam Sicilia', u'Andy Ogle', u'Manvel Gamburyan', u'Bart Palaszewski', u'Nam Phan', u'Steven Siler', u""TJ O'Brien"", u'Matt Wiman', u'Ross Pearson', u'Dan Lauzon', u'Efrain Escudero', u'Junie Browning', u'Jorge Gurgel', u'Jeremy Stephens', u'Leonard Garcia', u'Andy Wang']"
Scott Harper,[u'Logan Clark']
Virgil Zwicker,"[u'Guto Inocente', u'Brett Albee', u'Lavar Johnson']"
Carl Malenko,"[u'Allan Goes', u'Wanderlei Silva', u'Egan Inoue']"
Yuya Shirai,[u'Jason High']
Ryo Kawamura,[u'Muhammed Lawal']
Kenichi Yamamoto,"[u'Ikuhisa Minowa', u'Alexander Otsuka', u'Kevin Randleman', u'Pat Miletich', u'Katsuhisa Fujii', u'Daiju Takase']"
Keith Mielke,[u'Sam Adkins']
Yukiya Naito,[u'Muhammed Lawal']
Rony Sefo,[u'Kiyoshi Tamura']
Mike Wilkinson,"[u'Niklas Backstrom', u'Rony Jason', u'Brendan Loughnane']"
Gleison Tibau,"[u'Piotr Hallmann', u'Pat Healy', u'Michael Johnson', u'Jamie Varner', u'John Cholish', u'Evan Dunham', u'Francisco Trinaldo', u'Khabib Nurmagomedov', u'Rafaello Oliveira', u'Kurt Pellegrino', u'Jim Miller', u'Caol Uno', u'Josh Neer', u'Melvin Guillard', u'Jeremy Stephens', u'Rich Clementi', u'Joe Stevenson', u'Tyson Griffin', u'Terry Etim', u'Jeff Cox', u'Jason Dent', u'Nick Diaz']"
Jerrel Venetiaan,"[u'Hirotaka Yokoi', u'Daijiro Matsui']"
Ian Freeman,"[u'Vernon White', u'Andrei Arlovski', u'Frank Mir', u'Tedd Williams', u'Nate Schroeder', u'Scott Adams']"
Thomas Denny,"[u'Nick Diaz', u'Joe Stevenson', u'Georges St-Pierre']"
Donald Sanchez,[u'Tatsuya Kawajiri']
Dale Hartt,"[u'Dennis Siver', u'Corey Hill', u'Shannon Gugerty']"
Ryan Jimmo,"[u""Sean O'Connell"", u'Jimi Manuwa', u'Igor Pokrajac', u'Anthony Perosh']"
Eric Esch,"[u""Sean O'Haire"", u'Ikuhisa Minowa']"
Carlton Jones,"[u'Mike Cook', u'Glover Teixeira', u'Shane Carwin']"
Yuri Villefort,"[u'Sean Spencer', u'Nah-Shon Burrell', u'Quinn Mulhern']"
Kelvin Gastelum,"[u'Jake Ellenberger', u'Rick Story', u'Brian Melancon', u'Uriah Hall']"
Igor Araujo,"[u'George Sullivan', u'Danny Mitchell', u'Ildemar Alcantara']"
Pat Schilling,"[u'Max Holloway', u'Daniel Pineda']"
Francisco Trevino,[u'Renee Forte']
Mostapha Al-Turk,"[u'Jon Madsen', u'Mirko Filipovic', u'Cheick Kongo']"
Deshaun Johnson,[u'Yves Edwards']
Cyrillo Padilha,"[u'Bobby Stack', u'Jesse Jones']"
Gerry Harris,[u'Paul Varelans']
Rousimar Palhares,"[u'Mike Pierce', u'Hector Lombard', u'Alan Belcher', u'Mike Massenzio', u'Dan Miller', u'Dave Branch', u'Nate Marquardt', u'Tomasz Drwal', u'Lucio Linhares', u'Jeremy Horn', u'Dan Henderson', u'Ivan Salaverry', u'Daniel Acacio', u'Fabio Nascimento', u'Helio Dipp', u'Claudio Mattos']"
Cub Swanson,"[u'Frankie Edgar', u'Jeremy Stephens', u'Dennis Siver', u'Dustin Poirier', u'Charles Oliveira', u'Ross Pearson', u'George Roop', u'Ricardo Lamas', u'Mackens Semerzier', u'Chad Mendes', u'John Franchi', u'Jose Aldo', u'Hiroyuki Takaya', u'Jens Pulver', u'Micah Miller', u'Tommy Lee']"
Jorge Santiago,"[u'Gunnar Nelson', u'Demian Maia', u'Brian Stann', u'Sean Salmon', u'Trevor Prangley', u'Alan Belcher', u'Chris Leben', u'Justin Levens', u'Diego Sanchez']"
Kazuki Tokudome,"[u'Johnny Case', u'Norman Parke', u'Cristiano Marcello']"
Bret Bergmark,"[u'Vagner Rocha', u'Mike Pyle']"
Floyd Sword,[u'Thales Leites']
Eddie Wineland,"[u'Johnny Eduardo', u'Yves Jabouin', u'Renan Barao', u'Brad Pickett', u'Scott Jorgensen', u'Joseph Benavidez', u'Urijah Faber', u'Ken Stone', u'Will Campuzano', u'George Roop', u'Manny Tapia', u'Rani Yahya', u'Chase Beebe', u'Antonio Banuelos']"
Dashon Johnson,"[u'Godofredo Pepey', u'Jake Matthews']"
Ryan Madigan,[u'Tamdan McCrory']
Evan Tanner,"[u'Kendall Grove', u'Yushin Okami', u'Justin Levens', u'David Loiseau', u'Rich Franklin', u'David Terrell', u'Robbie Lawler', u'Phil Baroni', u'Phil Baroni', u'Rich Franklin', u'Chris Haseman', u'Elvis Sinosic', u'Homer Moore', u'Tito Ortiz', u'Lance Gibson', u'Valeri Ignatov', u'Darrel Gholar']"
Ben Saunders,"[u'Chris Heatherly', u'Dennis Hallman', u'Jon Fitch', u'Marcus Davis', u'Mike Swick', u'Brandon Wolff', u'Ryan Thomas', u'Dan Barrera']"
Brendan Loughnane,[u'Mike Wilkinson']
Bao Quach,"[u'Tito Jones', u'LC Davis']"
Antonio Mendes,"[u'Eric Schafer', u'Thiago Silva']"
Josh Hendricks,[u'Gabriel Gonzaga']
Miguel Torres,"[u'Michael McDonald', u'Nick Pace', u'Demetrious Johnson', u'Antonio Banuelos', u'Charlie Valencia', u'Joseph Benavidez', u'Brian Bowles', u'Takeya Mizugaki', u'Manny Tapia', u'Yoshiro Maeda', u'Chase Beebe', u'Jeff Bedard']"
Kyle Jensen,[u'Carlos Condit']
Lionel Lanham,[u'TJ Cook']
Cale Yarbrough,"[u'Josh Shockman', u'Tim Credeur']"
Derek Brunson,"[u'Lorenz Larkin', u'Yoel Romero', u'Brian Houston', u'Chris Leben', u'Nate James', u'Lumumba Sayers', u'Jeremy Hamilton']"
Tsuyoshi Kohsaka,"[u'Mark Hunt', u'Mario Sperry', u'Fedor Emelianenko', u'Ricco Rodriguez', u'Pedro Rizzo', u'Tim Lajcik', u'Bas Rutten', u'Pete Williams', u'Kimo Leopoldo']"
Colin Fletcher,"[u'Mike Ricci', u'Norman Parke']"
Demian Maia,"[u'Alexander Yakovlev', u'Rory MacDonald', u'Jake Shields', u'Jon Fitch', u'Rick Story', u'Chris Weidman', u'Jorge Santiago', u'Mark Munoz', u'Kendall Grove', u'Mario Miranda', u'Anderson Silva', u'Dan Miller', u'Nate Marquardt', u'Chael Sonnen', u'Nate Quarry', u'Jason MacDonald', u'Ed Herman', u'Ryan Jensen']"
Matt Veach,"[u'Paul Kelly', u'Frankie Edgar', u'Matt Grice']"
Jonathan Brookins,"[u'Dustin Poirier', u'Charles Oliveira', u'Vagner Rocha', u'Erik Koch', u'Michael Johnson', u'Jose Aldo']"
Shonie Carter,"[u'Marcus Davis', u'Mike Pyle', u'Nate Quarry', u'Pat Miletich', u'Matt Serra', u'Adrian Serrano', u'Brad Gumm']"
Gabriel Salinas-Jones,"[u'Devin Cole', u'Bryan Humes']"
Carlos Barreto,"[u'Tra Telligman', u'Igor Vovchanchyn', u'Dave Beneteau']"
Jason Lambert,"[u'Jason MacDonald', u'Luiz Cane', u'Wilson Gouveia', u'Renato Sobral', u'Rashad Evans', u'Terry Martin', u'Rob MacDonald']"
Aljamain Sterling,"[u'Hugo Viana', u'Cody Gibson']"
David Abbott,"[u'Kevin Ferguson', u'Paul Buentello', u'Hidehiko Yoshida', u'Wesley Correira', u'Kimo Leopoldo', u'Frank Mir', u'Pedro Rizzo', u'Hugo Duarte', u'Yoji Anjo', u'Maurice Smith', u'Vitor Belfort', u'Don Frye', u'Cal Worsham', u'Steve Nelmark', u'Sam Adkins', u'Scott Ferrozzo', u'Dan Severn', u'Steve Jennum', u'John Matua', u'Oleg Taktarov', u'Paul Varelans']"
Hidetaka Monma,[u'Hayato Sakurai']
Jason Ireland,[u'Joachim Hansen']
John Polakowski,"[u'Rolando Delgado', u'Olaf Alfonso']"
Enson Inoue,"[u'Heath Herring', u'Igor Vovchanchyn', u'Mark Kerr', u'Soichi Nishida', u'Randy Couture', u'Royce Alger']"
Minoru Toyonaga,[u'Egan Inoue']
Johnny Sampaio,[u'Ed Ratcliff']
Chuck Grigsby,[u'Mark Munoz']
Edson Drago,"[u'Yoshihiro Nakao', u'Pawel Nastula']"
Gil Castillo,"[u'Matt Hughes', u'Chris Brennan', u'Dave Menne']"
Mal Foki,[u'Henry Miller']
Brian Bowles,"[u'George Roop', u'Urijah Faber', u'Takeya Mizugaki', u'Damacio Page', u'Dominick Cruz', u'Miguel Torres', u'Will Ribeiro', u'Damacio Page', u'Marcos Galvao', u'Charlie Valencia']"
Scott Morris,"[u'Patrick Smith', u'Sean Daugherty']"
Mirko Filipovic,"[u'Roy Nelson', u'Brendan Schaub', u'Frank Mir', u'Pat Barry', u'Anthony Perosh', u'Mostapha Al-Turk', u'Alistair Overeem', u'Tatsuya Mizuno', u'Cheick Kongo', u'Gabriel Gonzaga', u'Eddie Sanchez', u'Wanderlei Silva', u'Josh Barnett', u'Hidehiko Yoshida', u'Ikuhisa Minowa', u'Mark Hunt', u'Josh Barnett', u'Fedor Emelianenko', u'Ibragim Magomedov', u'Mark Coleman', u'Kevin Randleman', u'Josh Barnett', u'Aleksander Emelianenko', u'Shungo Oyama', u'Hiromitsu Kanehara', u'Kevin Randleman', u'Yoshihisa Yamamoto', u'Ron Waterman', u'Igor Vovchanchyn', u'Heath Herring', u'Kazuyuki Fujita', u'Kazushi Sakuraba', u'Wanderlei Silva', u'Yuji Nagata', u'Nobuhiko Takada', u'Kazuyuki Fujita']"
Wes Sims,"[u'Bobby Lashley', u'Mike Kyle', u'Frank Mir', u'Frank Mir']"
Steve Bruno,"[u'Matthew Riddle', u'Johnny Rees', u'Chris Wilson']"
Milco Voorn,[u'Mark Coleman']
Che Mills,"[u'Matthew Riddle', u'Duane Ludwig', u'Rory MacDonald', u'Chris Cope']"
Richard Crunkilton,"[u'Dave Jansen', u'Sergio Gomez', u'Rob McCullough', u'Mike Joy', u'Hermes Franca']"
John Lewis,"[u'Jens Pulver', u'Lowell Anderson']"
Patrick Cummins,"[u'Kyle Kingsbury', u'Roger Narvaez', u'Daniel Cormier', u'Terrell Brown']"
Alvin Cacdac,"[u'Jose Palacios', u'Bryan Caraway', u'Evan Esguerra', u'Bobby Sanchez']"
Josh Stewart,[u'Laverne Clark']
Steve Vigneault,"[u'Mike Swick', u'Patrick Cote']"
Brian Melancon,"[u'Kelvin Gastelum', u'Seth Baczynski', u'Felipe Portela', u'Isaac Vallie-Flagg']"
Diego Brandao,"[u'Conor McGregor', u'Dustin Poirier', u'Daniel Pineda', u'Pablo Garza', u'Joey Gambino', u'Darren Elkins', u'Dennis Bermudez']"
Ray Wizard,[u'Patrick Smith']
Jake Hecht,"[u'Sean Pierson', u'Rich Attonito']"
Damir Mirenic,[u'Gegard Mousasi']
Danny Martinez,"[u'Scott Jorgensen', u'Chris Cariaso', u'Joseph Benavidez']"
Eric Steenberg,[u'Tom Aaron']
Zane Frazier,"[u'Cal Worsham', u'Kevin Rosier']"
Andre Galvao,"[u'Tyron Woodley', u'Jorge Patino', u'Luke Stewart', u'Jason High', u'John Alessio']"
Justin Edwards,"[u'Ramsey Nijem', u'Brandon Thatch', u'Josh Neer', u'John Maguire', u'Jorge Lopez', u'Clay Harvison']"
Brian McLaughlin,[u'Sterling Ford']
Rony Jason,"[u'Robert Peralta', u'Steven Siler', u'Jeremy Stephens', u'Mike Wilkinson', u'Sam Sicilia', u'Godofredo Pepey']"
Alfonso Alcarez,[u'Jens Pulver']
James Vick,"[u'Nick Hein', u'Valmir Lazaro', u'Ramsey Nijem']"
Brock Larson,"[u'Brian Foster', u'Mike Pierce', u'Mike Pyle', u'Jesse Sanders', u'Carlo Prater', u'John Alessio', u'Carlos Condit', u'Kevin Knabjian', u'Erik Apple', u'Keita Nakamura', u'Jon Fitch']"
Jack May,"[u'Shawn Jordan', u'Derrick Lewis']"
Jeremy Lang,[u'Tim McKenzie']
Hayato Sakurai,"[u'Phil Baroni', u'Ryo Chonan', u'Jason High', u'Nick Diaz', u'Akihiro Gono', u'Marius Zaromskis', u'Shinya Aoki', u'Katsuyori Shibata', u'Kuniyoshi Hironaka', u'Hidetaka Monma', u'Hidehiko Hasegawa', u'Mac Danzig', u'Luciano Azevedo', u'Olaf Alfonso', u'Takanori Gomi', u'Joachim Hansen', u'Jens Pulver', u'Milton Vieira', u'Crosley Gracie', u'Brady Fink', u'Rodrigo Gracie', u'Daiju Takase', u'Matt Hughes', u'Anderson Silva']"
Hiromitsu Miura,"[u'Edgar Garcia', u'Carlos Condit', u'Blas Avena', u'Fernando Gonzalez', u'Jason Miller']"
Derrick Burnsed,[u'Bobby Stack']
Sergio Moraes,"[u'Neil Magny', u'Renee Forte', u'Cezar Ferreira']"
Jared Hamman,"[u'Magnus Cedenblad', u'Michael Kuiper', u'CB Dollaway', u'Kyle Kingsbury', u'Rodney Wallace', u'Alexander Gustafsson', u'Scott Graham']"
Joseph Sandoval,"[u'Nick Denis', u'Walel Watson']"
Steven Siler,"[u'Noad Lahat', u'Rony Jason', u'Dennis Bermudez', u'Mike Brown', u'Kurt Holobaugh', u'Darren Elkins', u'Joey Gambino', u'Cole Miller', u'Josh Clopton']"
Eddie Gordon,"[u'Josh Samman', u'Dhiego Lima']"
James Hammortree,[u'Chris Camozzi']
Sam Sicilia,"[u'Katsunori Kikuno', u'Aaron Phillips', u'Cole Miller', u'Godofredo Pepey', u'Maximo Blanco', u'Rony Jason', u'Cristiano Marcello']"
Royler Gracie,"[u'Kazushi Sakuraba', u'Yuhi Sano']"
Dustin Neace,"[u'Bryan Caraway', u'Jeff Curran']"
Elias Theodorou,"[u'Bruno Santos', u'Sheldon Westcott']"
Jeremiah Metcalf,"[u'Raymond Daniels', u'Dennis Hallman', u'Luke Stewart']"
Branko Cikatic,"[u'Maurice Smith', u'Mark Kerr']"
Jason Freeman,[u'Jason Riley']
Harris Sarmiento,"[u'Rob McCullough', u'Josh Thomson', u'Gilbert Melendez']"
Yasuhiro Urushitani,"[u'John Lineker', u'Joseph Benavidez']"
Jerron Peoples,"[u'Roger Bowling', u'Eduardo Pamplona']"
Mizuto Hirota,"[u'Rodrigo Damm', u'Rani Yahya', u'Pat Healy', u'Shinya Aoki']"
Bob Cook,[u'Tiki Ghosn']
Sean Alvarez,[u'Wesley Correira']
Scott Norton,[u'Alex Serdyukov']
Chris Culley,[u'Casey Olson']
Nick Ring,"[u'Caio Magalhaes', u'Chris Camozzi', u'Court McGee', u'Tim Boetsch', u'James Head', u'Riki Fukuda']"
Nate James,"[u'Derek Brunson', u'Danillo Villefort']"
